label,message
scam,Claim your loan approved by sending OTP immediately.
scam,"Fraudulent transaction detected, provide your OTP."
scam,"Your account has been suspended, verify OTP now!"
ham,Your account balance is adequate.
ham,Please ignore unknown SMS.
scam,Click here to reset your banking password.
ham,Payment received successfully.
scam,Send your OTP to claim your prize!
scam,Your debit card has been blocked.
ham,"New offers available, accept today!"
scam,"Your account is at risk, immediate action required."
ham,"Your mobile recharge was successful, thank you."
scam,"Your loan application is approved, send OTP now!"
ham,Do not share your bank details with anyone.
scam,Account hacked! Open the app now to secure it.
ham,"Your OTP code expires in 5 minutes, do not share"
scam,"Loan approved, confirm by sending OTP code."
scam,Update your account details to avoid suspension.
ham,Thank you for using our service.
ham,"নতুন অফার এসেছে, আজই অ্যাকসেপ্ট করুন।"
scam,Claim your loan approved by sending OTP.
scam,"Fraudulent transaction detected, provide OTP."
scam,"জরুরি! আপনার ব্যাংক একাউন্ট বন্ধ হওয়ার ঝুঁকি, OTP: 3798"
ham,আপনার একাউন্টে ৫০০ টাকা জমা হয়েছে।
ham,"Your OTP is 8741, do not share it with anyone."
scam,Click here to reset your banking password.
scam,"আপনার নাম্বারে লোন পেয়েছে, ফর্ম জমা দিন দ্রুত!"
scam,"Your account suspended, verify OTP now!"
scam,সাবধান! আপনার একাউন্ট থেকে অস্বীকৃত টাকা উত্তোলন হয়েছে। জরুরি যাচাই করুন।
ham,"আপনার OTP কোড 834729, কেউ যাতে জানতে না পারে সতর্ক থাকুন।"
scam,"আপনার মোবাইল ব্যাংকিং একাউন্ট বন্ধ হতে যাচ্ছে, এখনি লগইন করুন।"
ham,"আপনার একাউন্ট চালু রয়েছে, সর্বশেষ ব্যালেন্স ১০,০০০ টাকা।"
scam,"ডেবিট কার্ড ব্যবহার সীমিত করতে OTP দিন, অন্যথায় একাউন্ট ব্লক হবে।"
scam,আপনার অ্যাকাউন্ট ভেরিফিকেশন করতে নিচের লিঙ্কে ক্লিক করুন।
scam,"ওয়ালেট রিচার্জ সফল হয়েছে, পরবর্তী লেনদেনের জন্য প্রস্তুত থাকুন।"
ham,নতুন অফার! আপনার একাউন্টে নগদ টাকা রিফান্ড করা হয়েছে
scam,অবিলম্বে OTP দিন অন্যথায় অ্যাকাউন্ট থেকে টাকা উঠে যেতে পারে।
ham,"আপনার ট্রান্সপোর্ট ফি জমা হয়েছে, ধন্যবাদ।"
scam,ব্যাংকের তরফ থেকে জরুরি বার্তা: আপনার একাউন্ট আপডেট করুন আজই।
ham,"আপনার মোবাইল ব্যাংকিং PIN পরিবর্তন করা হয়েছে, যদি না করেন তবে রিপোর্ট করুন।"
scam,একাউন্ট সিকিউরিটি হুমকি! নিম্নলিখিত OTP দিয়ে যাচাই সম্পন্ন করুন।
scam,"আপনার লোন আবেদন প্রক্রিয়াধীন, সম্পূর্ণ করতে OTP দিন।"
ham,আপনার ব্যালেন্স ৫০০০ টাকার নিচে এসে গেছে।
scam,"আপনার ডেবিট কার্ডের নিরাপত্তা লঙ্ঘিত হয়েছে, অবিলম্বে যাচাই করতে OTP দিন।"
scam,"আপনার ডেবিট কার্ড থেকে ৫০০০ টাকা কাটা হয়েছে, অবিলম্বে TRX কোড পাঠান।"
scam,Congratulations! You won a prize. Please send OTP to claim.
ham,আপনার মোবাইল অ্যাপ্লিকেশন আপডেট সফল হয়েছে।
ham,"Your OTP is 789654, keep it confidential to secure your account."
scam,Claim your cashback by entering OTP received in next 5 minutes.
scam,নিরাপত্তার জন্য আপনার ফোন থেকে আমাদের কনফার্মেশন চান।
scam,Important: Your account verification is pending. Please provide OTP.
scam,Your debit card transaction of 5000 taka was declined. Contact support.
scam,Congratulations! Claim your reward by submitting OTP within 10 minutes.
scam,"Your recent login was from a new device. If not you, verify with OTP."
scam,Update your payment information immediately to avoid suspension.
ham,Your mobile recharge of 20 taka is successful. Thank you for your payment.
ham,Refund of 100 taka has been processed to your account.
scam,"Warning: Suspicious activity detected, confirm via OTP now."
scam,Your loan application was approved. Verify details using OTP.
ham,Please ignore any unknown messages pretending to be your bank.
scam,Your online banking password expired. Reset it via the provided link.
ham,Your account balance is low. Add funds to continue service.
scam,"To secure your account, provide the OTP sent to your registered phone."
ham,Payment of 2500 taka received. Thanks for banking with us
scam,Alert: Unauthorized transaction attempt detected. Change password now.
ham,Your credit card limit has been increased. Check details in app.
scam,Verify your identity to avoid account suspension. OTP required.
ham,Your request to withdraw 5000 taka was successful.
scam,Last chance: Provide OTP to claim your prize money now.
ham,Your scheduled payment will be processed tomorrow.
scam,Alert! Unauthorized login attempt detected. Confirm with OTP immediately.
ham,"Your BDT 10,000 wallet transfer was successful. Thank you for using our service."
scam,"Suspicious withdrawal of BDT 25,000 detected. Please verify with OTP now."
scam,"Your internet banking password expired, reset it today to avoid service disruption."
ham,BDT 100 recharge completed successfully.
scam,"Congratulations! You won BDT 5,000 cashback. Submit OTP to receive."
scam,Verify your identity by entering the OTP sent to your mobile to continue transactions.
scam,Your debit card ending 1234 has been temporarily blocked for suspicious activity.
scam,"BDT 35,000 loan approved. Confirm by sending OTP within 10 minutes."
ham,"Your account balance is BDT 8,200."
scam,"Immediate action needed! Unrecognized device logged in, confirm with OTP now."
ham,"Reminder: Your scheduled BDT 12,000 bill payment will process tomorrow."
ham,"Your BDT 2,000 refund has been processed successfully."
scam,"OTP validation required to complete your BDT 20,000 transfer."
scam,Update your mobile number in banking records today for uninterrupted service.
ham,"Your recent transaction of BDT 7,500 has been verified"
scam,Secure your account now! OTP sent to your registered contact.
ham,"BDT 15,000 payment received from your account."
scam,Warning: Suspicious activity in your account. Verify using your OTP immediately.
scam,"Your loan payment of BDT 10,000 is overdue. Please pay immediately to avoid penalties."
scam,Congratulations! You won a free investment plan. Call now to claim your prize.
scam,New job opportunity with high salary. Send your CV to apply immediately.
scam,"You have been selected for a government grant of BDT 50,000. Contact us now."
scam,Exclusive offer: Double your money in 30 days with our secret scheme.
scam,"Your lottery ticket won BDT 1,00,000. Send your details for prize delivery."
scam,Join our online trading platform for guaranteed profits.
ham,Beware of strangers asking for your financial details over chat or SMS.
ham,Your KYC verification is complete. Thank you for your cooperation.
scam,"Earn BDT 2,000 daily working from home. Register now!"
scam,"Immediate payment required for customs clearance. Pay BDT 5,000 now."
scam,Congratulations! You are shortlisted for a luxury car giveaway.
scam,Investment opportunity with zero risk and high returns. Contact us.
ham,Monthly subscription paid successfully.
ham,Avoid fake schemes promising overnight wealth. Stay cautious.
scam,Free smartphone giveaway for lucky winners. Reply to participate.
scam,"Urgent: Pay BDT 10,000 to avoid legal action related to tax dues."
ham,Your online order has been shipped successfully.
ham,Your health insurance claim has been approved. Contact for details.
scam,Secure your future with our pension plan. Enroll today!
ham,"Reminder: Electricity bill payment of BDT 3,500 is due tomorrow."
scam,বিশাল বিনিয়োগের সুযোগ! দ্রুত আজই ফোন করুন।
scam,বিনামূল্যে ক্যাশব্যাক জন্য আজই বেছে নিন।
ham,আধার কার্ড হারিয়ে গেলে কি করবেন? আজই যোগাযোগ করুন।
scam,জাল ব্যবসায়িক সুযোগ! দ্রুত বিনিয়োগ করুন এবং বড় লাভ করুন।
scam,আপনার লাইভ লটারি জেতা হয়েছে! এখনই প্রমাণ পাঠান।
scam,মোবাইল ট্রেডিং প্ল্যাটফর্মে যোগ দিন। নিশ্চিত লাভের গ্যারান্টি।
ham,অবৈধ আর্থিক লেনদেন এড়ানোর জন্য সতর্ক থাকুন।
ham,আপনার বৈধতা নিশ্চিত করতে আমাদের নিকট যোগাযোগ করুন।
scam,"বাসা ভাড়া, চাকরি এবং ব্যবসার জন্য দ্রুত ঋণ পেতে যোগাযোগ করুন।"
scam,দ্রুত বিনিয়োগ করুন এবং মাসে কোটি টাকা উপার্জন করুন।
scam,নির্ভরযোগ্য ব্যাংক অ্যাকাউন্ট থেকে টাকা সরাসরি পাঠান।
scam,আপনার একটি চূড়ান্ত সুযোগ! আজই অংশ নিন এবং বড় লাভ করুন।
ham,বিনামূল্যে ব্যাংক সাবসক্রিপশন পেতে আজই যোগাযোগ করুন।
scam,বনধের পরিসীমা থেকে প্রাইভেট জেনারেশন শুরু হয়েছে। বিনিয়োগ করুন।
ham,হারানো পণ্য পুনরুদ্ধার করতে আমাদের সাথে যোগাযোগ করুন।
scam,দ্রুত উপার্জনের জন্য আজই যোগ দিন। প্রতিদিন BDT 2000 থেকে BDT 5000 পর্যন্ত উপার্জন।
ham,আপনার পেমেন্ট পরবর্তী সপ্তাহে কাটা হবে না! দ্রুত কার্যক্রম নিন।
ham,আপনার প্রিয়জনের জন্য গোপন নোটিশ: সাধারণ ফিচার ডাউনলোড করুন।
scam,বিনিয়োগের জন্য দুর্দান্ত সুযোগ! ব্যাঙ্কের পার্টনারশিপে বড় লাভ।
ham,পেমেন্টের জন্য ধন্যবাদ। আপনার ট্রানজেকশন সফল হয়েছে।
scam,"আপনার একাউন্ট থেকে অজানা লেনদেন হয়েছে, দ্রুত যাচাই করুন।"
ham,"আপনার মোবাইল রিচার্জ সফল হয়েছে, ধন্যবাদ।"
scam,জরুরি! OTP দিয়ে একাউন্ট যাচাই করুন না হলে ব্লক হবে।
scam,"আজকের বিশেষ অফার থেকে সুযোগ নিন, আজই কল করুন।"
scam,"আপনার লোন আবেদন সফল হয়েছে, ফর্ম পূরণের জন্য OTP প্রদান করুন।"
scam,আপনার অ্যাকাউন্টে নতুন অ্যাক্টিভিটি শনাক্ত করা হয়েছে।
ham,"নম্বর থেকে টাকা সফলভাবে উত্তোলন হয়েছে, ধন্যবাদ।"
scam,আপনার একাউন্টের বিস্তারিত তথ্য যাচাই করতে লিঙ্কে ক্লিক করুন।
scam,অনলাইন কেনাকাটায় ক্যাশব্যাক পেতে OTP পাঠান।
ham,"নতুন সিম কার্ড চালু হয়েছে, ধন্যবাদ ব্যবহারের জন্য।"
scam,আপনার জয়েন্ট অ্যাকাউন্টে সন্দেহজনক লেনদেন হয়েছে।
ham,সতর্কতা: অজানা নম্বর থেকে কল আসলে অবহেলা করুন।
ham,"আজকের ডেলিভারি সফল হয়েছে, পণ্য গ্রহণের জন্য ধন্যবাদ।"
scam,আপনার ওটিপি কোড দিন অন্যথায় একাউন্ট বন্ধ হবে।
ham,Your package has been shipped. Track your delivery at this link.
scam,Congratulations! You've won a free gift card. Click now to claim.
scam,Our records show suspicious activity in your account. Contact support.
scam,Your subscription is about to expire. Renew now for uninterrupted service.
scam,You have an overdue bill of BDT 3000. Pay immediately to avoid disconnect.
scam,Limited-time offer! Double your money in 7 days. Invest now.
scam,Loan approved! Send your details to receive funds today.
ham,Your online order is ready. View details here.
scam,Fake invoice attached. Please review and click the link to pay.
scam,Your car insurance claim has been approved. Contact us to finalize.
scam,It’s your last chance to claim your cashback. Act now!
scam,"You have been selected for a surveys. Complete now and win BDT 10,000."
scam,Attention! Your mobile data plan will expire tomorrow. Renew now.
scam,Fake urgent message: You owe BDT 500 for missed payment. Pay now.
scam,Your bank account is locked. Verify now to regain access.
scam,Limited-time deal: Buy now and get 50% discount on all products.
scam,Mystery shopping opportunity! Earn BDT 2000 daily. Sign up now.
ham,Your recent transaction of BDT 4200 was successfully processed.
scam,Warning! Suspicious activity detected. Change your credentials now.
scam,Your gaming account has been hacked. Change your password immediately.
scam,"অবিলম্বে আপনার একাউন্ট যাচাই করুন, না হলে এটি বন্ধ হয়ে যাবে।"
scam,"আজকের বিশেষ ছাড়ে অংশ নিন, আজই যোগাযোগ করুন।"
scam,"আপনার লোন আবেদন সফল, দ্রুত OTP দিন যাচাইয়ের জন্য।"
scam,"আপনার ডেবিট কার্ডের সীমা শেষ হতে যাচ্ছে, আরও তথ্যের জন্য কল করুন।"
ham,মোবাইল বিল বাবদ ৫০০ টাকা সফলভাবে পরিশোধ হয়েছে।
scam,"Hello from BLOrange club. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.blorange.club.bd"
scam,Call FREEPHONE +8800 542 0578 now!
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
scam,"Loan for any purpose 500 tk- 75,000tk. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free +880 1956669 or text back 'help'"
ham,Sorry i'm not free...
ham,How. Its a little difficult but its a simple way to enter this place
scam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call +8801906401883. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary
scam,Your package delivery is delayed. Track now at this fake link.
scam,"Get rich quick! Invest BDT 10,000 today and double your money fast."
scam,Your job application was successful! Reply to claim your position
scam,Verify your phone number now to avoid service interruption.
scam,Free $1000 gift card! Click here to redeem before it expires.
ham,Your recent online purchase has been shipped successfully.
scam,Alert: Classified documents found linked to your account. Contact now!
scam,Your electricity bill of BDT 3000 is overdue. Pay now to avoid cut-off.
scam,Congratulations! You’ve won a holiday trip. Reply to claim.
ham,Payment of BDT 5000 received. Thank you for your timely payment.
scam,Urgent notice! Verify your social security number immediately.
scam,Your bank loan has been approved. Send documents to finalize.
scam,Your subscription payment failed. Update billing info to continue.
ham,Your ticket to the concert is confirmed. Thank you for your purchase.
scam,You've been selected for a secret shopper job. Earn BDT 2000 daily.
scam,"Important: Claim your tax refund of BDT 8,000 today via this link"
scam,Your online account will be suspended soon. Verify credentials now.
ham,Your medical insurance claim has been processed successfully.
scam,New investment opportunity: Guaranteed 30% monthly returns.
ham,Your parcel has been dispatched. Track with tracking number XYZ123.
scam,"Claim your free BDT 5,000 reward now by clicking this link before it expires!"
scam,You have unclaimed cashback waiting. Submit your details to claim it immediately.
scam,"Final notice: Claim your government grant of BDT 10,000 within 24 hours"
scam,Congratulations! Claim your exclusive shopping voucher by replying with YES.
scam,"You are eligible to claim a BDT 3,000 bonus from your telecom operator."
scam,Claim your prize by verifying your phone number within 2 hours.
scam,Claim your loan disbursed amount now by confirming your bank details.
scam,Urgent: Claim compensation for delayed delivery by visiting this link.
scam,Claim your free ticket for the concert happening near you this weekend.
scam,"Claim your BDT 7,500 insurance payout by contacting us immediately."
scam,Claim your cashback by logging into your account with this link.
scam,"You have been selected to claim a new government subsidy, respond with your ID"
scam,Claim your refund for the recent transaction now before the offer expires.
scam,Claim your mystery gift by sending a reply with your full name and address.
scam,Claim your free mobile upgrade by confirming your account info via SMS.
scam,You have a new message from the lottery office. Claim your winnings ASAP.
scam,Claim your prize money by paying a small processing fee at the link below
scam,"Claim your BDT 15,000 bonus credits from our new app by signing up now."
scam,Claim your tax refund by uploading your financial documents immediately.
scam,Claim your exclusive membership rewards by clicking here. Limited time offer!
ham,Your BDT 2000 payment has been received. Thank you for using our service.
scam,Urgent: Verify your identity to avoid account closure. Click this link now.
scam,Congratulations! You have been selected for a free smartwatch. Reply YES.
ham,Your electricity bill of BDT 1500 is due tomorrow. Please pay on time.
scam,Immediate action required! Suspicious login detected. Confirm your password.
ham,Your mobile recharge of BDT 500 was successful.
scam,"Last chance to claim your cashback offer worth BDT 10,000!"
ham,Package delivered! Track it anytime using tracking number #12345.
scam,You won an exclusive holiday package. Contact us immediately to claim.
ham,Your online subscription has been renewed successfully
scam,Warning! Your account has been suspended due to suspicious activity.
ham,Enjoy 20% discount on your next purchase. Use code SAVE20.
scam,Your loan application was approved. Submit documents to receive payment.
ham,Thank you for your recent payment of BDT 3000.
scam,Alert! Unrecognized device logged in to your account. Verify immediately.
ham,Your food delivery has arrived. Please collect it.
scam,Claim your prize money worth BDT 5000 by sending your bank details now.
ham,Your appointment with Dr. Rahman has been confirmed for tomorrow.
scam,"You are selected for government subsidy. Verify details to claim BDT 15,000."
ham,Your electricity bill payment of BDT 2600 was successful.
ham,Your BDT 3000 utility bill has been paid successfully.
scam,Urgent! Confirm your credit card details to avoid suspension.
scam,Congratulations! You won a free trip. Reply YES to claim your prize.
ham,Your mobile data has been recharged with 2GB. Enjoy surfing.
scam,Warning: Suspicious transaction detected. Verify your identity immediately.
ham,Your food order from FoodieApp is delivered. Enjoy your meal!
scam,Limited-time offer! Double your investment in 15 days. Call now.
ham,You have successfully booked a taxi for 9 AM tomorrow.
scam,"Final notice! Claim your BDT 10,000 insurance payout today."
ham,Your monthly gym subscription has been renewed. Thank you.
scam,You have unpaid fines totaling BDT 1200. Pay now to avoid penalties.
ham,Event reminder: Music concert tonight at 7 PM at City Arena.
scam,Your debit card has been temporarily blocked for security reasons.
ham,Your parcel #XZ1234 is ready for pickup at the post office.
scam,Urgent: Your loan approval is pending. Submit documents to proceed.
ham,Your cab driver will arrive in 5 minutes. Please be ready
scam,"Get rich quick! Invest BDT 20,000 in crypto mining and earn huge profits."
ham,Thank you for registering for the webinar. We will email the link soon.
ham,Your electricity meter reading is due. Please pay your bill of BDT 2500.
scam,Last chance: Claim your cashback by verifying your account details now.
scam,Your BDT 4000 electricity bill has been paid. Thank you for your payment.
ham,Alert: Suspicious account activity detected. Verify your info immediately.
scam,Congratulations! You are selected for a free smartphone giveaway. Reply YES.
ham,Your monthly mobile recharge of BDT 600 was successful.
scam,Urgent! Your login was from an unknown device. Confirm your identity now.
ham,Your food delivery order has arrived. Enjoy your meal!
scam,Double your money with our new investment plan. Call us today
scam,Urgent! Verify your bank details to prevent account suspension.
scam,"Claim your prize worth BDT 10,000 by replying"
ham,Your recent payment of BDT 1500 was successful
ham,Your parcel #AB123 is out for delivery.
ham,Your electricity bill of BDT 800 is due tomorrow.
scam,"Immediate notice: Unauthorized transaction detected, act now!"
scam,You have won a free luxury watch. Reply to claim now.
ham,Your mobile recharge of BDT 300 was successful.
ham,Reminder: Doctor’s appointment tomorrow at 10 AM
ham,Thank you for your recent bank deposit of BDT 5000.
scam,"Claim your government grant of BDT 12,000 now."
scam,"Alert! Suspicious login attempt detected, verify your account."
ham,Your cab driver will arrive in 10 minutes.
ham,Your online subscription has been renewed. Thank you!
ham,You have a new message from the lottery office. Claim winnings.
scam,Your credit card has been temporarily blocked. Confirm details.
